Planta,Tiempo,Costos Nueva,Costo Antigua
21,5,"0,0000004","0,0000010"
22,5,"0,0000004","0,0000011"
23,5,"0,0000004","0,0000012"
1,6,"0,0000005","0,0000011"
2,6,"0,0000004","0,0000011"
3,6,"0,0000004","0,0000012"
4,6,"0,0000006","0,0000012"
5,6,"0,0000005","0,0000009"
6,6,"0,0000007","0,0000009"
7,6,"0,0000005","0,0000011"
8,6,"0,0000004","0,0000009"
9,6,"0,0000006","0,0000010"
10,6,"0,0000007","0,0000008"
11,6,"0,0000006","0,0000011"
12,6,"0,0000006","0,0000010"
13,6,"0,0000004","0,0000011"
14,6,"0,0000007","0,0000010"
15,6,"0,0000006","0,0000009"
16,6,"0,0000006","0,0000010"
17,6,"0,0000005","0,0000008"
18,6,"0,0000007","0,0000008"
19,6,"0,0000006","0,0000008"
20,6,"0,0000005","0,0000011"
21,6,"0,0000004","0,0000010"
22,6,"0,0000004","0,0000011"
23,6,"0,0000004","0,0000008"
1,7,"0,0000004","0,0000010"
2,7,"0,0000007","0,0000009"
3,7,"0,0000007","0,0000009"
4,7,"0,0000005","0,0000011"
5,7,"0,0000006","0,0000009"
6,7,"0,0000007","0,0000009"
7,7,"0,0000005","0,0000011"
8,7,"0,0000006","0,0000011"
9,7,"0,0000004","0,0000010"
10,7,"0,0000005","0,0000009"
11,7,"0,0000007","0,0000009"
12,7,"0,0000006","0,0000010"
13,7,"0,0000007","0,0000011"
14,7,"0,0000004","0,0000012"
15,7,"0,0000005","0,0000011"
16,7,"0,0000005","0,0000012"
17,7,"0,0000005","0,0000011"
18,7,"0,0000006","0,0000012"
19,7,"0,0000005","0,0000009"
20,7,"0,0000004","0,0000011"
21,7,"0,0000006","0,0000009"
22,7,"0,0000004","0,0000010"
23,7,"0,0000007","0,0000009"
1,8,"0,0000004","0,0000011"
2,8,"0,0000006","0,0000008"
3,8,"0,0000007","0,0000012"
4,8,"0,0000006","0,0000010"
5,8,"0,0000004","0,0000011"
6,8,"0,0000004","0,0000011"
7,8,"0,0000005","0,0000010"
8,8,"0,0000004","0,0000009"
9,8,"0,0000005","0,0000008"
10,8,"0,0000004","0,0000010"
11,8,"0,0000005","0,0000010"
12,8,"0,0000004","0,0000009"
13,8,"0,0000005","0,0000008"
14,8,"0,0000004","0,0000008"
15,8,"0,0000004","0,0000010"
16,8,"0,0000004","0,0000010"
17,8,"0,0000004","0,0000012"
18,8,"0,0000005","0,0000010"
19,8,"0,0000004","0,0000009"
20,8,"0,0000004","0,0000010"
21,8,"0,0000005","0,0000011"
22,8,"0,0000007","0,0000008"
23,8,"0,0000004","0,0000010"
1,9,"0,0000006","0,0000012"
2,9,"0,0000005","0,0000009"
3,9,"0,0000004","0,0000008"
4,9,"0,0000005","0,0000009"
5,9,"0,0000006","0,0000010"
6,9,"0,0000006","0,0000012"
7,9,"0,0000007","0,0000008"
8,9,"0,0000006","0,0000008"
9,9,"0,0000006","0,0000008"
10,9,"0,0000004","0,0000009"
11,9,"0,0000006","0,0000011"
12,9,"0,0000005","0,0000010"
13,9,"0,0000004","0,0000011"
14,9,"0,0000007","0,0000008"
15,9,"0,0000005","0,0000012"
16,9,"0,0000004","0,0000012"
17,9,"0,0000007","0,0000010"
18,9,"0,0000006","0,0000012"
19,9,"0,0000005","0,0000012"
20,9,"0,0000007","0,0000012"
21,9,"0,0000005","0,0000008"
22,9,"0,0000006","0,0000009"
23,9,"0,0000007","0,0000009"
1,10,"0,0000005","0,0000011"
2,10,"0,0000007","0,0000008"
3,10,"0,0000007","0,0000010"
4,10,"0,0000005","0,0000008"
5,10,"0,0000004","0,0000012"
6,10,"0,0000005","0,0000012"
7,10,"0,0000006","0,0000010"
8,10,"0,0000004","0,0000008"
9,10,"0,0000005","0,0000009"
10,10,"0,0000006","0,0000009"
11,10,"0,0000006","0,0000008"
12,10,"0,0000004","0,0000012"
13,10,"0,0000004","0,0000012"
14,10,"0,0000005","0,0000011"
15,10,"0,0000007","0,0000010"
16,10,"0,0000004","0,0000008"
17,10,"0,0000005","0,0000011"
18,10,"0,0000004","0,0000010"
19,10,"0,0000005","0,0000010"
20,10,"0,0000006","0,0000012"
21,10,"0,0000007","0,0000010"
22,10,"0,0000006","0,0000012"
23,10,"0,0000004","0,0000011"
1,11,"0,0000007","0,0000009"
2,11,"0,0000005","0,0000009"
3,11,"0,0000004","0,0000011"
4,11,"0,0000007","0,0000010"
5,11,"0,0000006","0,0000008"
6,11,"0,0000006","0,0000008"
7,11,"0,0000005","0,0000012"
8,11,"0,0000005","0,0000008"
9,11,"0,0000004","0,0000011"
10,11,"0,0000005","0,0000012"
11,11,"0,0000005","0,0000011"
12,11,"0,0000007","0,0000010"
13,11,"0,0000007","0,0000009"
14,11,"0,0000007","0,0000011"
15,11,"0,0000005","0,0000011"
16,11,"0,0000007","0,0000012"
17,11,"0,0000005","0,0000009"
18,11,"0,0000006","0,0000010"
19,11,"0,0000004","0,0000012"
20,11,"0,0000007","0,0000012"
21,11,"0,0000004","0,0000012"
22,11,"0,0000006","0,0000011"
23,11,"0,0000007","0,0000012"
1,12,"0,0000006","0,0000012"
2,12,"0,0000006","0,0000011"
3,12,"0,0000004","0,0000009"
4,12,"0,0000006","0,0000010"
5,12,"0,0000006","0,0000012"
6,12,"0,0000005","0,0000009"
7,12,"0,0000006","0,0000012"
8,12,"0,0000005","0,0000012"
9,12,"0,0000007","0,0000010"
10,12,"0,0000004","0,0000010"
11,12,"0,0000007","0,0000010"
12,12,"0,0000004","0,0000009"
13,12,"0,0000007","0,0000011"
14,12,"0,0000006","0,0000008"
15,12,"0,0000006","0,0000012"
16,12,"0,0000006","0,0000011"
17,12,"0,0000006","0,0000012"
18,12,"0,0000007","0,0000011"
19,12,"0,0000007","0,0000011"
20,12,"0,0000004","0,0000012"
21,12,"0,0000005","0,0000008"
22,12,"0,0000007","0,0000009"
23,12,"0,0000006","0,0000010"
1,13,"0,0000007","0,0000012"
2,13,"0,0000005","0,0000011"
3,13,"0,0000007","0,0000009"
4,13,"0,0000006","0,0000008"
5,13,"0,0000006","0,0000011"
6,13,"0,0000005","0,0000011"
7,13,"0,0000007","0,0000008"
8,13,"0,0000007","0,0000008"
9,13,"0,0000004","0,0000009"
10,13,"0,0000006","0,0000012"
11,13,"0,0000006","0,0000009"
12,13,"0,0000006","0,0000009"
13,13,"0,0000006","0,0000011"
14,13,"0,0000006","0,0000011"
15,13,"0,0000006","0,0000011"
16,13,"0,0000007","0,0000010"
17,13,"0,0000006","0,0000009"
18,13,"0,0000006","0,0000008"
19,13,"0,0000004","0,0000012"
20,13,"0,0000004","0,0000010"
21,13,"0,0000006","0,0000012"
22,13,"0,0000004","0,0000012"
23,13,"0,0000007","0,0000008"
1,14,"0,0000006","0,0000008"
2,14,"0,0000005","0,0000009"
3,14,"0,0000006","0,0000010"
4,14,"0,0000004","0,0000011"
5,14,"0,0000004","0,0000011"
6,14,"0,0000005","0,0000008"
7,14,"0,0000007","0,0000008"
8,14,"0,0000007","0,0000011"
9,14,"0,0000005","0,0000010"
10,14,"0,0000005","0,0000008"
11,14,"0,0000007","0,0000008"
12,14,"0,0000004","0,0000011"
13,14,"0,0000006","0,0000009"
14,14,"0,0000005","0,0000011"
15,14,"0,0000004","0,0000009"
16,14,"0,0000004","0,0000012"
17,14,"0,0000005","0,0000011"
18,14,"0,0000004","0,0000009"
19,14,"0,0000005","0,0000012"
20,14,"0,0000004","0,0000010"
21,14,"0,0000005","0,0000012"
22,14,"0,0000007","0,0000010"
23,14,"0,0000005","0,0000010"
1,15,"0,0000004","0,0000009"
2,15,"0,0000006","0,0000011"
3,15,"0,0000006","0,0000009"
4,15,"0,0000007","0,0000012"
5,15,"0,0000005","0,0000010"
6,15,"0,0000007","0,0000010"
7,15,"0,0000004","0,0000010"
8,15,"0,0000006","0,0000008"
9,15,"0,0000007","0,0000010"
10,15,"0,0000004","0,0000010"
11,15,"0,0000005","0,0000012"
12,15,"0,0000005","0,0000011"
13,15,"0,0000005","0,0000012"
14,15,"0,0000004","0,0000008"
15,15,"0,0000005","0,0000010"
16,15,"0,0000005","0,0000008"
17,15,"0,0000004","0,0000011"
18,15,"0,0000004","0,0000011"
19,15,"0,0000007","0,0000008"
20,15,"0,0000004","0,0000012"
21,15,"0,0000005","0,0000008"
22,15,"0,0000005","0,0000012"
23,15,"0,0000006","0,0000012"
1,16,"0,0000006","0,0000011"
2,16,"0,0000007","0,0000008"
3,16,"0,0000006","0,0000011"
4,16,"0,0000004","0,0000012"
5,16,"0,0000006","0,0000012"
6,16,"0,0000006","0,0000011"
7,16,"0,0000005","0,0000008"
8,16,"0,0000007","0,0000010"
9,16,"0,0000006","0,0000012"
10,16,"0,0000005","0,0000010"
11,16,"0,0000005","0,0000012"
12,16,"0,0000005","0,0000008"
13,16,"0,0000007","0,0000011"
14,16,"0,0000005","0,0000008"
15,16,"0,0000006","0,0000011"
16,16,"0,0000004","0,0000010"
17,16,"0,0000007","0,0000008"
18,16,"0,0000006","0,0000010"
19,16,"0,0000007","0,0000009"
20,16,"0,0000005","0,0000010"
21,16,"0,0000007","0,0000012"
22,16,"0,0000006","0,0000010"
23,16,"0,0000007","0,0000009"
1,17,"0,0000007","0,0000010"
2,17,"0,0000004","0,0000010"
3,17,"0,0000007","0,0000008"
4,17,"0,0000004","0,0000009"
5,17,"0,0000005","0,0000012"
6,17,"0,0000007","0,0000008"
7,17,"0,0000006","0,0000011"
8,17,"0,0000007","0,0000008"
9,17,"0,0000004","0,0000011"
10,17,"0,0000006","0,0000009"
11,17,"0,0000004","0,0000012"
12,17,"0,0000007","0,0000010"
13,17,"0,0000004","0,0000011"
14,17,"0,0000007","0,0000009"
15,17,"0,0000004","0,0000012"
16,17,"0,0000006","0,0000008"
17,17,"0,0000005","0,0000012"
18,17,"0,0000007","0,0000010"
19,17,"0,0000007","0,0000010"
20,17,"0,0000006","0,0000011"
21,17,"0,0000006","0,0000012"
22,17,"0,0000007","0,0000010"
23,17,"0,0000006","0,0000012"
1,18,"0,0000005","0,0000012"
2,18,"0,0000007","0,0000011"
3,18,"0,0000006","0,0000009"
4,18,"0,0000004","0,0000009"
5,18,"0,0000004","0,0000010"
6,18,"0,0000007","0,0000010"
7,18,"0,0000004","0,0000009"
8,18,"0,0000005","0,0000011"
9,18,"0,0000006","0,0000011"
10,18,"0,0000006","0,0000008"
11,18,"0,0000006","0,0000009"
12,18,"0,0000006","0,0000009"
13,18,"0,0000006","0,0000012"
14,18,"0,0000007","0,0000012"
15,18,"0,0000004","0,0000011"
16,18,"0,0000006","0,0000009"
17,18,"0,0000005","0,0000011"
18,18,"0,0000006","0,0000009"
19,18,"0,0000007","0,0000009"
20,18,"0,0000007","0,0000008"
21,18,"0,0000005","0,0000008"
22,18,"0,0000005","0,0000010"
23,18,"0,0000005","0,0000011"
1,19,"0,0000004","0,0000011"
2,19,"0,0000004","0,0000011"
3,19,"0,0000006","0,0000010"
4,19,"0,0000006","0,0000009"
5,19,"0,0000006","0,0000008"
6,19,"0,0000005","0,0000009"
7,19,"0,0000006","0,0000011"
8,19,"0,0000007","0,0000008"
9,19,"0,0000006","0,0000009"
10,19,"0,0000006","0,0000012"
11,19,"0,0000004","0,0000008"
12,19,"0,0000005","0,0000011"
13,19,"0,0000006","0,0000011"
14,19,"0,0000006","0,0000008"
15,19,"0,0000005","0,0000009"
16,19,"0,0000007","0,0000010"
17,19,"0,0000007","0,0000011"
18,19,"0,0000006","0,0000011"
19,19,"0,0000005","0,0000008"
20,19,"0,0000007","0,0000010"
21,19,"0,0000007","0,0000008"
22,19,"0,0000007","0,0000009"
23,19,"0,0000006","0,0000011"
1,20,"0,0000006","0,0000008"
2,20,"0,0000007","0,0000009"
3,20,"0,0000006","0,0000011"
4,20,"0,0000005","0,0000010"
5,20,"0,0000005","0,0000010"
6,20,"0,0000006","0,0000009"
7,20,"0,0000005","0,0000009"
8,20,"0,0000004","0,0000012"
9,20,"0,0000005","0,0000012"
10,20,"0,0000005","0,0000012"
11,20,"0,0000007","0,0000008"
12,20,"0,0000004","0,0000011"
13,20,"0,0000006","0,0000009"
14,20,"0,0000005","0,0000008"
15,20,"0,0000006","0,0000008"
16,20,"0,0000007","0,0000010"
17,20,"0,0000007","0,0000009"
18,20,"0,0000004","0,0000010"
19,20,"0,0000005","0,0000011"
20,20,"0,0000005","0,0000011"
21,20,"0,0000005","0,0000008"
22,20,"0,0000005","0,0000009"
23,20,"0,0000005","0,0000010"
