Planta,Tiempo,Coste de Mantenimiento
15,13,"0,000000565539"
16,13,"0,000000483772"
17,13,"0,000000511624"
18,13,"0,000000415705"
19,13,"0,000000512463"
20,13,"0,000000565396"
21,13,"0,000000576461"
22,13,"0,000000442112"
23,13,"0,000000473044"
1,14,"0,000000576189"
2,14,"0,00000054493"
3,14,"0,000000423689"
4,14,"0,000000423257"
5,14,"0,000000577939"
6,14,"0,000000457518"
7,14,"0,000000586032"
8,14,"0,000000576092"
9,14,"0,000000447043"
10,14,"0,000000518225"
11,14,"0,000000517174"
12,14,"0,000000562647"
13,14,"0,000000580132"
14,14,"0,000000462104"
15,14,"0,00000043162"
16,14,"0,00000048904"
17,14,"0,000000461373"
18,14,"0,000000589935"
19,14,"0,000000495238"
20,14,"0,000000499491"
21,14,"0,000000496023"
22,14,"0,00000051764"
23,14,"0,000000525086"
1,15,"0,000000540035"
2,15,"0,000000582638"
3,15,"0,000000560377"
4,15,"0,000000560012"
5,15,"0,000000582076"
6,15,"0,000000422328"
7,15,"0,000000565795"
8,15,"0,000000454124"
9,15,"0,000000533646"
10,15,"0,000000483341"
11,15,"0,000000513839"
12,15,"0,000000502162"
13,15,"0,000000562553"
14,15,"0,000000447243"
15,15,"0,000000557579"
16,15,"0,000000472043"
17,15,"0,000000561802"
18,15,"0,000000585009"
19,15,"0,000000525018"
20,15,"0,000000588888"
21,15,"0,000000499586"
22,15,"0,000000580322"
23,15,"0,000000500482"
1,16,"0,000000560147"
2,16,"0,00000043988"
3,16,"0,000000543506"
4,16,"0,000000531236"
5,16,"0,000000504491"
6,16,"0,000000538156"
7,16,"0,000000517561"
8,16,"0,000000442182"
9,16,"0,000000557579"
10,16,"0,000000584037"
11,16,"0,000000589971"
12,16,"0,000000454091"
13,16,"0,00000052585"
14,16,"0,000000457756"
15,16,"0,00000042605"
16,16,"0,000000496616"
17,16,"0,00000043006"
18,16,"0,00000046414"
19,16,"0,000000561851"
20,16,"0,000000521456"
21,16,"0,000000486345"
22,16,"0,000000455456"
23,16,"0,000000436833"
1,17,"0,000000531444"
2,17,"0,000000501218"
3,17,"0,000000545887"
4,17,"0,000000529801"
5,17,"0,000000545977"
6,17,"0,000000445073"
7,17,"0,000000426544"
8,17,"0,00000047285"
9,17,"0,00000041919"
10,17,"0,000000452435"
11,17,"0,000000581967"
12,17,"0,000000421451"
13,17,"0,000000500496"
14,17,"0,000000473394"
15,17,"0,000000536727"
16,17,"0,00000049009"
17,17,"0,000000559611"
18,17,"0,000000543439"
19,17,"0,00000043136"
20,17,"0,0000005123"
21,17,"0,000000527045"
22,17,"0,00000055515"
23,17,"0,000000437117"
1,18,"0,000000546343"
2,18,"0,000000478039"
3,18,"0,000000585032"
4,18,"0,000000426126"
5,18,"0,000000450216"
6,18,"0,00000050733"
7,18,"0,0000005791"
8,18,"0,000000535467"
9,18,"0,00000051016"
10,18,"0,000000428792"
11,18,"0,000000558694"
12,18,"0,000000473261"
13,18,"0,000000542341"
14,18,"0,000000428855"
15,18,"0,00000044641"
16,18,"0,000000462376"
17,18,"0,000000505926"
18,18,"0,000000533881"
19,18,"0,000000449966"
20,18,"0,000000486508"
21,18,"0,000000581352"
22,18,"0,000000524108"
23,18,"0,000000537246"
1,19,"0,000000535459"
2,19,"0,000000580148"
3,19,"0,000000527577"
4,19,"0,000000446833"
5,19,"0,000000539174"
6,19,"0,000000559379"
7,19,"0,000000558466"
8,19,"0,000000523788"
9,19,"0,000000563668"
10,19,"0,000000419357"
11,19,"0,00000056663"
12,19,"0,000000574527"
13,19,"0,000000589339"
14,19,"0,00000058205"
15,19,"0,000000518718"
16,19,"0,000000579251"
17,19,"0,000000467268"
18,19,"0,000000525252"
19,19,"0,000000424147"
20,19,"0,000000475448"
21,19,"0,000000558028"
22,19,"0,000000525439"
23,19,"0,000000573387"
1,20,"0,000000580703"
2,20,"0,000000507186"
3,20,"0,000000455938"
4,20,"0,000000447448"
5,20,"0,000000441158"
6,20,"0,000000523212"
7,20,"0,000000553903"
8,20,"0,000000521238"
9,20,"0,000000558765"
10,20,"0,000000554677"
11,20,"0,000000583436"
12,20,"0,000000447403"
13,20,"0,000000422613"
14,20,"0,000000482723"
15,20,"0,000000475077"
16,20,"0,000000581653"
17,20,"0,000000558499"
18,20,"0,000000531573"
19,20,"0,000000586791"
20,20,"0,00000051906"
21,20,"0,0000005151"
22,20,"0,000000422436"
23,20,"0,00000055453"
