Planta,Tiempo,Costos fijo
4,15,1.631944
5,15,1.63991
6,15,1.790848
7,15,1.846607
8,15,1.750127
9,15,1.637834
10,15,1.782933
11,15,1.725798
12,15,1.776848
13,15,1.697528
14,15,1.73933
15,15,1.65501
16,15,1.813666
17,15,1.819757
18,15,1.752699
19,15,1.723088
20,15,1.764591
21,15,1.781551
22,15,1.753484
23,15,1.773615
1,16,1.631805
2,16,1.744261
3,16,1.770571
4,16,1.850301
5,16,1.785209
6,16,1.841921
7,16,1.735061
8,16,1.775688
9,16,1.703409
10,16,1.721555
11,16,1.827137
12,16,1.792619
13,16,1.809703
14,16,1.629408
15,16,1.838721
16,16,1.776314
17,16,1.775522
18,16,1.767376
19,16,1.783278
20,16,1.808913
21,16,1.79257
22,16,1.64996
23,16,1.848864
1,17,1.840536
2,17,1.737886
3,17,1.760983
4,17,1.688233
5,17,1.632187
6,17,1.786885
7,17,1.844005
8,17,1.863021
9,17,1.736805
10,17,1.694899
11,17,1.766897
12,17,1.669065
13,17,1.761304
14,17,1.722486
15,17,1.711352
16,17,1.796038
17,17,1.772701
18,17,1.687681
19,17,1.672553
20,17,1.722157
21,17,1.663296
22,17,1.731035
23,17,1.647719
1,18,1.746533
2,18,1.663414
3,18,1.700321
4,18,1.67733
5,18,1.730237
6,18,1.668816
7,18,1.812143
8,18,1.852704
9,18,1.803013
10,18,1.637668
11,18,1.86005
12,18,1.82735
13,18,1.812007
14,18,1.693676
15,18,1.814916
16,18,1.825618
17,18,1.815023
18,18,1.769714
19,18,1.76429
20,18,1.761524
21,18,1.859399
22,18,1.737377
23,18,1.855951
1,19,1.693188
2,19,1.656144
3,19,1.749417
4,19,1.633334
5,19,1.765595
6,19,1.646798
7,19,1.662
8,19,1.838427
9,19,1.767456
10,19,1.676474
11,19,1.728643
12,19,1.679261
13,19,1.682737
14,19,1.829946
15,19,1.812026
16,19,1.792434
17,19,1.642949
18,19,1.809381
19,19,1.695597
20,19,1.717434
21,19,1.717719
22,19,1.818337
23,19,1.641494
1,20,1.76767
2,20,1.756074
3,20,1.641548
4,20,1.864797
5,20,1.665866
6,20,1.716962
7,20,1.72582
8,20,1.678578
9,20,1.725175
10,20,1.8183
11,20,1.859919
12,20,1.673485
13,20,1.720646
14,20,1.719662
15,20,1.634078
16,20,1.628114
17,20,1.806419
18,20,1.795067
19,20,1.642726
20,20,1.862647
21,20,1.659448
22,20,1.836182
23,20,1.67745
