Planta,Tiempo,Costos Nueva,Costo Antigua
21,15,0.0000003,0.0000009
22,15,0.0000004,0.0000011
23,15,0.0000002,0.0000009
1,16,0.0000003,0.0000009
2,16,0.0000002,0.0000009
3,16,0.0000003,0.0000012
4,16,0.0000004,0.0000008
5,16,0.0000004,0.0000012
6,16,0.0000002,0.0000012
7,16,0.0000004,0.0000012
8,16,0.0000004,0.0000012
9,16,0.0000002,0.0000008
10,16,0.0000004,0.0000009
11,16,0.0000002,0.0000010
12,16,0.0000002,0.0000012
13,16,0.0000002,0.0000010
14,16,0.0000003,0.0000010
15,16,0.0000003,0.0000009
16,16,0.0000003,0.0000008
17,16,0.0000004,0.0000012
18,16,0.0000003,0.0000011
19,16,0.0000002,0.0000010
20,16,0.0000004,0.0000012
21,16,0.0000002,0.0000010
22,16,0.0000003,0.0000009
23,16,0.0000004,0.0000012
1,17,0.0000004,0.0000009
2,17,0.0000002,0.0000009
3,17,0.0000004,0.0000010
4,17,0.0000002,0.0000008
5,17,0.0000003,0.0000010
6,17,0.0000004,0.0000012
7,17,0.0000004,0.0000012
8,17,0.0000003,0.0000008
9,17,0.0000002,0.0000010
10,17,0.0000004,0.0000010
11,17,0.0000004,0.0000010
12,17,0.0000003,0.0000012
13,17,0.0000004,0.0000010
14,17,0.0000002,0.0000012
15,17,0.0000002,0.0000009
16,17,0.0000003,0.0000012
17,17,0.0000003,0.0000010
18,17,0.0000002,0.0000011
19,17,0.0000003,0.0000012
20,17,0.0000004,0.0000012
21,17,0.0000004,0.0000011
22,17,0.0000004,0.0000012
23,17,0.0000003,0.0000008
1,18,0.0000002,0.0000008
2,18,0.0000004,0.0000010
3,18,0.0000004,0.0000012
4,18,0.0000002,0.0000008
5,18,0.0000002,0.0000010
6,18,0.0000002,0.0000008
7,18,0.0000002,0.0000012
8,18,0.0000003,0.0000009
9,18,0.0000003,0.0000011
10,18,0.0000004,0.0000008
11,18,0.0000004,0.0000011
12,18,0.0000003,0.0000011
13,18,0.0000002,0.0000008
14,18,0.0000003,0.0000011
15,18,0.0000003,0.0000008
16,18,0.0000002,0.0000008
17,18,0.0000002,0.0000011
18,18,0.0000004,0.0000008
19,18,0.0000002,0.0000012
20,18,0.0000004,0.0000009
21,18,0.0000004,0.0000010
22,18,0.0000003,0.0000009
23,18,0.0000002,0.0000012
1,19,0.0000002,0.0000011
2,19,0.0000002,0.0000009
3,19,0.0000002,0.0000011
4,19,0.0000002,0.0000009
5,19,0.0000002,0.0000010
6,19,0.0000004,0.0000011
7,19,0.0000004,0.0000009
8,19,0.0000003,0.0000008
9,19,0.0000003,0.0000011
10,19,0.0000003,0.0000010
11,19,0.0000003,0.0000012
12,19,0.0000002,0.0000010
13,19,0.0000002,0.0000010
14,19,0.0000003,0.0000009
15,19,0.0000003,0.0000011
16,19,0.0000004,0.0000012
17,19,0.0000004,0.0000009
18,19,0.0000003,0.0000010
19,19,0.0000002,0.0000009
20,19,0.0000004,0.0000008
21,19,0.0000003,0.0000010
22,19,0.0000004,0.0000012
23,19,0.0000003,0.0000008
1,20,0.0000003,0.0000008
2,20,0.0000003,0.0000009
3,20,0.0000002,0.0000008
4,20,0.0000004,0.0000009
5,20,0.0000002,0.0000008
6,20,0.0000002,0.0000012
7,20,0.0000004,0.0000009
8,20,0.0000002,0.0000012
9,20,0.0000003,0.0000010
10,20,0.0000002,0.0000010
11,20,0.0000002,0.0000008
12,20,0.0000004,0.0000009
13,20,0.0000003,0.0000010
14,20,0.0000003,0.0000011
15,20,0.0000003,0.0000012
16,20,0.0000002,0.0000010
17,20,0.0000004,0.0000009
18,20,0.0000002,0.0000009
19,20,0.0000003,0.0000012
20,20,0.0000003,0.0000011
21,20,0.0000004,0.0000011
22,20,0.0000002,0.0000011
23,20,0.0000002,0.0000008
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
